W0821 00:11:52.264151   713 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.0, Runtime API Version: 10.1
W0821 00:11:52.268267   713 device_context.cc:422] device: 0, cuDNN Version: 7.6.
Train: [17][20/98]	BT 0.965 (0.969)	DT 0.000 (0.062)	loss 8.183 (8.203)
Train: [17][30/98]	BT 0.967 (0.967)	DT 0.000 (0.042)	loss 8.265 (8.199)
Train: [17][40/98]	BT 0.965 (0.966)	DT 0.000 (0.031)	loss 8.197 (8.200)
Train: [17][50/98]	BT 0.966 (0.966)	DT 0.000 (0.025)	loss 8.127 (8.189)
Train: [17][60/98]	BT 0.964 (0.966)	DT 0.000 (0.021)	loss 8.192 (8.181)
Train: [17][70/98]	BT 0.962 (0.966)	DT 0.000 (0.018)	loss 8.164 (8.184)
Train: [17][80/98]	BT 0.963 (0.966)	DT 0.000 (0.016)	loss 8.164 (8.184)
Train: [17][90/98]	BT 0.966 (0.965)	DT 0.000 (0.014)	loss 8.127 (8.183)
epoch 17, total time 94.50
Train: [18][10/98]	BT 0.966 (0.960)	DT 0.000 (0.124)	loss 8.107 (8.167)
Train: [18][20/98]	BT 0.961 (0.963)	DT 0.000 (0.062)	loss 8.065 (8.152)
Train: [18][30/98]	BT 0.964 (0.964)	DT 0.000 (0.041)	loss 8.197 (8.153)
Train: [18][40/98]	BT 0.970 (0.965)	DT 0.000 (0.031)	loss 8.063 (8.157)
Train: [18][50/98]	BT 0.961 (0.965)	DT 0.000 (0.025)	loss 8.218 (8.156)
Train: [18][60/98]	BT 0.967 (0.965)	DT 0.000 (0.021)	loss 8.105 (8.156)
Train: [18][70/98]	BT 0.959 (0.965)	DT 0.000 (0.018)	loss 8.108 (8.160)
Train: [18][80/98]	BT 0.969 (0.965)	DT 0.000 (0.016)	loss 8.158 (8.161)
Train: [18][90/98]	BT 0.966 (0.965)	DT 0.000 (0.014)	loss 8.098 (8.155)
epoch 18, total time 94.49
Train: [19][10/98]	BT 0.959 (0.958)	DT 0.000 (0.129)	loss 7.967 (8.081)
Train: [19][20/98]	BT 0.962 (0.961)	DT 0.000 (0.065)	loss 8.201 (8.069)
Train: [19][30/98]	BT 0.966 (0.963)	DT 0.000 (0.043)	loss 8.137 (8.100)
Train: [19][40/98]	BT 0.964 (0.964)	DT 0.000 (0.032)	loss 8.152 (8.096)
Train: [19][50/98]	BT 0.964 (0.964)	DT 0.000 (0.026)	loss 8.247 (8.106)
Train: [19][60/98]	BT 0.972 (0.964)	DT 0.000 (0.022)	loss 8.076 (8.112)
Train: [19][70/98]	BT 0.963 (0.964)	DT 0.000 (0.019)	loss 8.177 (8.117)
Train: [19][80/98]	BT 0.970 (0.964)	DT 0.000 (0.016)	loss 8.039 (8.113)
Train: [19][90/98]	BT 0.966 (0.964)	DT 0.000 (0.014)	loss 8.013 (8.113)
epoch 19, total time 94.48
Train: [20][10/98]	BT 0.967 (0.958)	DT 0.000 (0.124)	loss 8.017 (8.082)
Train: [20][20/98]	BT 0.966 (0.962)	DT 0.000 (0.062)	loss 8.153 (8.070)
Train: [20][30/98]	BT 0.965 (0.962)	DT 0.000 (0.041)	loss 8.101 (8.080)
Train: [20][40/98]	BT 0.963 (0.963)	DT 0.000 (0.031)	loss 8.099 (8.085)
Train: [20][50/98]	BT 0.982 (0.964)	DT 0.000 (0.025)	loss 8.042 (8.078)
Train: [20][60/98]	BT 0.965 (0.964)	DT 0.000 (0.021)	loss 7.969 (8.076)
Train: [20][70/98]	BT 0.970 (0.964)	DT 0.000 (0.018)	loss 8.074 (8.078)
Train: [20][80/98]	BT 0.964 (0.964)	DT 0.000 (0.016)	loss 8.094 (8.076)
Train: [20][90/98]	BT 0.972 (0.965)	DT 0.000 (0.014)	loss 8.107 (8.078)
epoch 20, total time 94.44
Train: [21][10/98]	BT 0.970 (0.959)	DT 0.000 (0.141)	loss 8.001 (8.061)
Train: [21][20/98]	BT 0.963 (0.962)	DT 0.000 (0.071)	loss 8.155 (8.074)
Train: [21][30/98]	BT 0.965 (0.963)	DT 0.000 (0.047)	loss 7.988 (8.073)
Train: [21][40/98]	BT 0.964 (0.963)	DT 0.000 (0.035)	loss 8.019 (8.079)
Train: [21][50/98]	BT 0.965 (0.964)	DT 0.000 (0.028)	loss 8.053 (8.075)
Train: [21][60/98]	BT 0.959 (0.964)	DT 0.000 (0.024)	loss 8.043 (8.083)
Train: [21][70/98]	BT 0.966 (0.964)	DT 0.000 (0.020)	loss 8.110 (8.080)
Train: [21][80/98]	BT 0.962 (0.964)	DT 0.000 (0.018)	loss 8.070 (8.072)
Train: [21][90/98]	BT 0.965 (0.964)	DT 0.000 (0.016)	loss 8.109 (8.071)
epoch 21, total time 94.38
Train: [22][10/98]	BT 0.972 (0.959)	DT 0.000 (0.122)	loss 8.044 (8.071)
Train: [22][20/98]	BT 0.962 (0.962)	DT 0.000 (0.061)	loss 8.020 (8.041)
Train: [22][30/98]	BT 0.965 (0.963)	DT 0.000 (0.045)	loss 8.026 (8.040)
Train: [22][40/98]	BT 0.961 (0.963)	DT 0.000 (0.034)	loss 8.128 (8.042)
Train: [22][50/98]	BT 0.964 (0.964)	DT 0.000 (0.027)	loss 8.019 (8.048)
Train: [22][60/98]	BT 0.967 (0.964)	DT 0.000 (0.022)	loss 8.073 (8.038)
Train: [22][70/98]	BT 0.963 (0.964)	DT 0.000 (0.019)	loss 8.192 (8.046)
Train: [22][80/98]	BT 0.965 (0.964)	DT 0.000 (0.017)	loss 8.057 (8.042)
Train: [22][90/98]	BT 0.966 (0.964)	DT 0.000 (0.015)	loss 7.995 (8.036)
epoch 22, total time 94.40
Train: [23][10/98]	BT 0.972 (0.958)	DT 0.000 (0.126)	loss 7.995 (8.001)
Train: [23][20/98]	BT 0.968 (0.961)	DT 0.000 (0.063)	loss 7.896 (8.003)
Train: [23][30/98]	BT 0.964 (0.962)	DT 0.000 (0.042)	loss 8.122 (8.022)
